"URL","Versions","Traffic rank","IP country","IP region","Language","Email address","Email address (verified)","Email address (safe)","Phone number","Skype","WhatsApp","Twitter","Facebook","Instagram","GitHub","TikTok","YouTube","Pinterest","LinkedIn","Owler","Title","Description","Copyright","Copyright year","Responsive","schema.org types","Cert organisation","Cert country","Cert state","Cert locality","Cert issuer","Cert protocol","Cert expiry","SPF record","DMARC record","SSL/TLS enabled","Google Analytics","Google AdSense","Medianet","Facebook","Optimizely","Company name","Inferred company name","Industry","About","Locations","Company size","Company type","Company founded","Employees"
"https://www.flaticon.com","","1084158","US","","EL ; EN ; EN-US ; ES ; FR ; FR-fr ; Fa ; ID ; IT ; MK","","","","","","","https://www.twitter.com/flaticon","https://www.facebook.com/flaticon","https://www.instagram.com/flaticon","","","","https://www.pinterest.com/flaticon","","","Free Vector Icons and Stickers - PNG, SVG, EPS, PSD and CSS","Download Free Vector Icons and Stickers for your projects. Resources made by and for designers. PNG, SVG, EPS, PSD and CSS formats","Copyright © 2010-2021 Freepik Company S.L. All rights reserved.","2010","TRUE","Organization ; WebSite ; SearchAction","","","","","R3","TLS 1.3","1634391452","","","TRUE","UA-42742855","","","","","","FLATICON","","","","","","",""
"https://kinsta.com","","1070733","CA ; US","","EN ; ES ; Fa-IR ; NL ; al ; ar ; ar-AR ; ar-EG ; ar-TN ; ar-tn","privacy@kinsta.com","privacy@kinsta.com","","","","","https://www.twitter.com/kinsta","https://www.facebook.com/kinstahosting","https://www.instagram.com/kinstahosting","","","https://www.youtube.com/kinsta","","https://www.linkedin.com/company/kinsta","","Kinsta - Managed WordPress Hosting for All, Large or Small","Premium managed WordPress hosting, powered by Google Cloud. Lightning-fast load times, 24/7 expert support, and scalable for mission-critical sites.","© 2021 Kinsta Inc. All rights reserved.","2021","TRUE","Organization ; ImageObject ; WebSite ; SearchAction ; WebPage","","","","","Cloudflare Inc ECC CA-3","TLS 1.3","1639094399","","","TRUE","UA-46168441","","","","","Kinsta®","KINSTA HOSTING","Information Technology and Services","About us: Kinsta was founded in 2013 with a desire to change the status quo. We set out to create the best WordPress hosting platform in the world, and that’s our promise.   At Kinsta, we take managed WordPress hosting and performance to the next level. Powered by Google Cloud Platform and their lightning-fast premium tier network, WordPress users can choose from 25+ data centers around the globe. We host all types of sites, from small blogs up to Fortune 500 customers.  Kinsta is obsessed with performance: Imagine a car enthusiast building their dream ride. That's us with WordPress hosting. We love what we do and are obsessed with fine-tuning our servers to deliver maximum speeds.  Kinsta is global: We serve thousands of clients from 128 countries around the globe through our 25+ data centers. The only continent we haven't reached yet is Antarctica.  Kinsta is local: Wherever it is on the globe, we like to be locals. That's why we hired a remote support team that covers all time zones. We also provide native-speaking support in 6 languages.  Kinsta is diverse: Our team is remote-first with some local hubs. This allows us to hire top talent worldwide without boundaries. Our diversity is also our power. We all come from different walks of life, and this widens our unified perspective. It instills an understanding that we can use on a  daily basis when interacting with each other or with clients.  Kinsta loves WordPress: Just like you, we are all members of the WordPress community: users, developers, and enthusiasts. That's why we build our business around the best CMS in the world.  Kinsta is independent: We are proud to be one of the fastest-growing managed WordPress hosts in the industry. This means stability for our platform and, consequently, to your site. Kinsta is deeply rooted in  hosting and is here to stay.","West Hollywood, CA ; 10880 Wilshire Blvd, #92581, West Hollywood, CA 90069, US","51-200 employees","Privately Held","2013",""
"https://smallpdf.com","","488898","CH","","ALL ; EN ; EN-US ; ES ; En ; FR ; Fa-IR ; ID ; IT ; af","support@smallpdf.com ; info@smallpdf.com","support@smallpdf.com ; info@smallpdf.com","","","","","https://www.twitter.com/smallpdf","https://www.facebook.com/smallpdf","https://www.instagram.com/smallpdf","","","","","https://www.linkedin.com/company/smallpdf","","Smallpdf.com - A Free Solution to all your PDF Problems","Smallpdf - the platform that makes it super easy to convert and edit all your PDF files. Solving all your PDF problems in one place - and yes, free.","","","TRUE","WebSite ; Organization","","","","","Amazon","TLS 1.3","1660780799","","","TRUE","UA-50595884","","","","","Smallpdf","SMALLPDF","Computer Software","Made in Switzerland, the land of watches, banks, and clean design, Smallpdf is an award-winning company that offers a suite of clever document management tools for everyone—for work, for home, for life.   Founded in 2013, Smallpdf provides a simple, secure, and reliable answer to heavy, awkward PDF software. By removing unnecessary features and adding a deep focus on user experience, Smallpdf has become the most-loved and most-trusted PDF software on the planet, serving over 500 million users, 100,000 different companies, in 24 different languages, and in every country in the world.  Smallpdf integrates seamlessly with professional and personal tasks, boosting productivity and simplifying the way people manage their documents, with tools to compress, convert, edit, sign, protect, and unlock PDF documents in just a few easy steps.   Smallpdf.com is the most-visited website in Switzerland and consistently ranks in the top 300 websites in the world. The Smallpdf team works tirelessly to keep its servers in top shape for its 30+ million monthly users. We believe simple software solutions should be accessible to everyone, which is why our software is affordable, easy to use, and device-agnostic.   Users can get exclusive, unlimited access by subscribing to Smallpdf Pro, which boasts a host of additional features, like connected tools, batch processing, and offline access via the Smallpdf Desktop App. Businesses are also covered with Smallpdf for Business, which offers all the features of Smallpdf Pro, plus priority support, annual billing, and bulk discounts.       Welcome to Smallpdf, the first and only PDF software you’ll love.","Zurich ; Steinstrasse 21, Zurich, CH","51-200 employees","Privately Held","2013","Mike Pilawski -- Senior Product and Growth Leader with Consumer, Ad:Tech and SaaS experience. ; Max Küng -- Senior Software Engineer at Smallpdf ; Dennis Just -- CEO @ Smallpdf | Forbes 30u30 ; Henrique Ferreira -- B2B Product Designer at Smallpdf"
"https://moz.com","","349795","US","","ALL ; EN ; ar ; ar-SA ; ar-sa ; ar-ww ; bg-BG ; bg-bg ; bn ; ca","","","","","","","","","","","","","","","","Moz - SEO Software for Smarter Marketing","Backed by the largest community of SEOs on the planet, Moz builds tools that make SEO, inbound marketing, link building, and content marketing easy. Start your free 30-day trial today!","Copyright 2021 © Moz, Inc. All rights reserved.","2021","TRUE","WebPage ; ImageObject ; Organization ; BreadcrumbList ; ListItem","","","","","Cloudflare Inc ECC CA-3","TLS 1.3","1654732799","","","TRUE","","","","","","","MARKETING","","","","","","",""
"https://techacademy.jp","","308320","JP","","EN ; JA-JP ; cy ; da ; en ; en-CA ; en-GB ; en-JP ; en-US ; en-us","","","","","","","https://www.twitter.com/techacademy","https://www.facebook.com/techacademy","","","","","","","","オンラインプログラミングスクール/受講者数No.1|テックアカデミー","【テックアカデミー(TechAcademy)】受講者数No.1のオンラインプログラミングスクール。通過率10%を突破した現役エンジニアからマンツーマンで学べる。転職や副業に活かせるスキルを最短4週間で習得。","©2009 - 2021KiRAMEXCORPORATION.","2009","TRUE","","","","","","RapidSSL TLS DV RSA Mixed SHA256 2020 CA-1","TLS 1.3","1655164799","","","TRUE","UA-8189758","","","","","","TECHACADEMY","","","","","","",""
"https://app.netlify.com","","246351","AU ; US","NSW ; VA","es ; ES ; ID ; PL ; ar ; ar-DZ ; ar-SA ; az ; bg ; bn","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","DigiCert TLS Hybrid ECC SHA384 2020 CA1","TLS 1.3","1660348799","","","TRUE","","","","","","","APP.NETLIFY","","","","","","",""
"https://prtimes.jp","","228677","JP","","JA ; az ; bg ; ca ; co ; cy ; da ; de ; en ; en,ja","","","","","","","https://www.twitter.com/PRTIMES_JP ; https://www.twitter.com/PRTIMES_STORY ; https://www.twitter.com/PRTIMES_TV ; https://www.twitter.com/PRTIMES_NEWS ; https://www.twitter.com/PRTIMES_TECH","https://www.facebook.com/prtimes.jp ; https://www.facebook.com/STORYBYPRTIMES ; https://www.facebook.com/prtimes.tv ; https://www.facebook.com/prtimes.tech ; https://www.facebook.com/prtimes.startup","","","","","","https://www.linkedin.com/company/pr-times-inc","","PR TIMES｜プレスリリース・ニュースリリースNo.1配信サービス","プレスリリースをPR TIMESで配信して、効果的なPRを実現。上場企業の43.52%（1,680社/3,860社）が利用する現在シェアNo.1のプレスリリース配信代行サービス。話題のベンチャー～グローバル企業のニュースリリースが集まる生活者も要注目のサイトです。プレスリリースの受信は無料です。","","","TRUE","WebSite ; SearchAction ; Organization ; ImageObject","","","","","Amazon","TLS 1.3","1666396799","TRUE","TRUE","TRUE","","","","","","PR TIMES, Inc.","PRTIMES","Information Services","","Minato-ku, Tokyo ; 東京都港区南青山2-27-25, ヒューリック南青山ビル3F, Minato-ku, Tokyo 107-0062, JP","51-200 employees","Public Company","",""
"https://miro.com","","223528","US","","DE ; EN ; ES ; English ; RU ; ar ; ar-sa ; bg ; br ; ca","welcome@miro.com","welcome@miro.com","","","","","https://www.twitter.com/mirohq","https://www.facebook.com/TryMiro","https://www.instagram.com/mirohq","","","","","https://www.linkedin.com/company/mirohq","","","","","","FALSE","","","","","","Amazon","TLS 1.2","1644105599","","","TRUE","UA-32835154","","","","","Miro","MIRO","Computer Software","With more than 25M + users (and 95%+ of the Fortune 100), Miro is the online collaborative whiteboard platform that enables distributed teams to work effectively together, from running brainstorming sessions and workshops to planning projects, from designing new products and services to facilitating agile ceremonies.","San Francisco, California ; 535 Mission St, San Francisco, California 94105, US","1,001-5,000 employees","Privately Held","2011",""
"https://mailtrap.io","","216549","CT","","Fa-IR ; SR ; al ; ar ; ar-EU ; az ; bg ; bn ; ca ; cs","support@mailtrap.io","support@mailtrap.io","","","","","https://www.twitter.com/joshuaanderton ; https://www.twitter.com/mitchellfinlay ; https://www.twitter.com/coorasse ; https://www.twitter.com/MisterGlass ; https://www.twitter.com/Rado_g","https://www.facebook.com/Mailtrap","","","","","","https://www.linkedin.com/company/mailtrap","","Mailtrap - Email Testing Tool #1","Inspect and debug your email samples before delivering them to your customers.","","","TRUE","Organization ; ImageObject ; WebSite ; SearchAction ; Person","","","","","Amazon","TLS 1.2","1649635199","TRUE","TRUE","TRUE","","","","","","Mailtrap","MAILTRAP","Information Technology and Services","Mailtrap is an email sandbox service for safe and easy but comprehensive email testing. It is trusted by over 700,000 devs, QAs, and managers worldwide.   Mailtrap allows you to: - Capture SMTP traffic from staging and dev environments - Automate test flows and scenarios with flexible API - Analyze email content for spam score and validate HTML/CSS across popular email clients  We promote thorough email testing and love sharing knowledge with the community. You can learn everything you want to know about email development and marketing from our blog https://mailtrap.io/blog/.  Crafted by Railsware.","Danbury, CT ; 118 Coalpit Hill Road, Danbury, CT 06810, US","11-50 employees","Privately Held","",""
"https://ionicframework.com","","200596","US","","EN ; EN-US ; ar ; ar-LB ; bg ; ca ; cs ; cs-cz ; cy ; da","","","","","","","https://www.twitter.com/Ionicframework ; https://www.twitter.com/IonicFramework","https://www.facebook.com/ionicframework","https://www.instagram.com/ionicframework","","","","","https://www.linkedin.com/company/drifty-co-","","Cross-Platform Mobile App Development: Ionic Framework","Ionic Framework's app development platform builds amazing cross-platform mobile, web, and desktop apps all with one shared code base and open-web standards.","©2020 Ionic","2020","TRUE","Organization","","","","","Cloudflare Inc ECC CA-3","TLS 1.3","1654041599","TRUE","TRUE","TRUE","UA-44023830","","","","","","IONIC","","","","","","",""
